# BSM2-style influent (synthesised, not the canonical IWA 609-day file).
# Generated by scripts/generate_bsm2_influent.py at repo setup.
# Profile follows the BSM2 constant-influent composition plus a diurnal
# flow / load pattern and a time-varying temperature T (degC). Replace with
# the official BSM2 file for published comparisons. TSS is omitted (derived).
# Columns: t,SI,SS,XI,XS,XB_H,XB_A,XP,SO,SNO,SNH,SND,XND,SALK,Q,T
t,SI,SS,XI,XS,XB_H,XB_A,XP,SO,SNO,SNH,SND,XND,SALK,Q,T
0.3125,28.3717,64.2409,96.3907,401.884,55.9669,0,0,0,0,26.3468,6.24077,17.8113,7.72973,22800.5,12.5052
0.322917,27.4014,61.9394,93.0943,387.486,53.9618,0,0,0,0,25.4029,6.01718,17.1732,7.4528,21983.6,12.5016
0.333333,28.6942,64.8311,97.4863,405.576,56.4811,0,0,0,0,26.5888,6.2981,17.9749,7.80075,23010,12.4959
0.34375,28.2097,63.783,95.8402,399.019,55.568,0,0,0,0,26.159,6.19628,17.6843,7.67464,22638,12.4882
0.354167,27.5129,62.3246,93.4729,389.895,54.2974,0,0,0,0,25.5609,6.0546,17.28,7.49915,22120.4,12.4784
0.364583,27.6129,62.7357,93.8127,392.467,54.6556,0,0,0,0,25.7295,6.09454,17.394,7.54862,22266.3,12.4666
0.375,26.9951,61.5718,91.7139,385.186,53.6415,0,0,0,0,25.2521,5.98146,17.0712,7.40857,21853.2,12.4529
0.385417,28.4084,65.1014,96.5156,407.267,56.7166,0,0,0,0,26.6997,6.32436,18.0499,7.83327,23105.9,12.4373
0.395833,25.6883,59.1846,87.2741,370.252,51.5618,0,0,0,0,24.2731,5.74956,16.4094,7.12134,21005.9,12.4198
0.40625,26.6519,61.7644,90.5479,386.391,53.8093,0,0,0,0,25.3311,6.00018,17.1246,7.43174,21921.5,12.4007
0.416667,27.5569,64.2539,93.6226,401.965,55.9782,0,0,0,0,26.3521,6.24203,17.8149,7.73129,22805.1,12.3799
0.427083,29.6785,69.6316,100.83,435.607,60.6633,0,0,0,0,28.5577,6.76445,19.3059,8.37836,24713.8,12.3576
0.4375,26.1855,61.8116,88.9634,386.686,53.8505,0,0,0,0,25.3505,6.00477,17.1377,7.43743,21938.3,12.3338
0.447917,25.7573,61.1523,87.5084,382.562,53.2761,0,0,0,0,25.0801,5.94072,16.9549,7.3581,21704.3,12.3086
0.458333,26.4594,63.1496,89.8938,395.056,55.0161,0,0,0,0,25.8992,6.13475,17.5087,7.59842,22413.2,12.2822
0.46875,28.5457,68.4382,96.9818,428.141,59.6236,0,0,0,0,28.0682,6.64851,18.975,8.23476,24290.2,12.2547
0.479167,26.9063,64.7425,91.4121,405.022,56.4039,0,0,0,0,26.5525,6.28949,17.9504,7.79008,22978.5,12.2262
0.489583,29.029,70.0296,98.624,438.097,61.01,0,0,0,0,28.7209,6.80311,19.4163,8.42625,24855,12.1968
0.5,24.6771,59.6105,83.8386,372.917,51.9329,0,0,0,0,24.4478,5.79094,16.5275,7.17259,21157.1,12.1666
0.510417,28.7625,69.4766,97.7184,434.638,60.5283,0,0,0,0,28.4941,6.74939,19.2629,8.35971,24658.8,12.1359
0.520833,28.635,69.0623,97.2852,432.046,60.1673,0,0,0,0,28.3242,6.70915,19.1481,8.30987,24511.7,12.1046
0.53125,25.295,60.8149,85.9377,380.451,52.9821,0,0,0,0,24.9417,5.90794,16.8614,7.3175,21584.5,12.073
0.541667,27.4353,65.6409,93.2093,410.642,57.1866,0,0,0,0,26.921,6.37677,18.1995,7.89819,23297.4,12.0412
0.552083,28.8812,68.6429,98.1218,429.422,59.8019,0,0,0,0,28.1522,6.6684,19.0318,8.2594,24362.9,12.0094
0.5625,27.3459,64.4446,92.9056,403.158,56.1444,0,0,0,0,26.4303,6.26055,17.8678,7.75424,22872.8,11.9776
0.572917,28.5871,66.675,97.1226,417.111,58.0875,0,0,0,0,27.3451,6.47723,18.4862,8.02261,23664.4,11.946
0.583333,30.4592,70.1755,103.483,439.01,61.1371,0,0,0,0,28.7807,6.81729,19.4567,8.4438,24906.8,11.9148
0.59375,27.5991,62.6925,93.7659,392.197,54.6179,0,0,0,0,25.7118,6.09034,17.382,7.54342,22250.9,11.8841
0.604167,26.8445,60.0096,91.2022,375.413,52.2805,0,0,0,0,24.6114,5.8297,16.6381,7.2206,21298.7,11.854
0.614583,26.1766,57.4826,88.9329,359.604,50.079,0,0,0,0,23.575,5.58422,15.9375,6.91654,20401.8,11.8246
0.625,28.1084,60.5298,95.4963,378.667,52.7338,0,0,0,0,24.8248,5.88024,16.7823,7.28319,21483.3,11.7962
0.635417,26.9584,56.8373,91.5891,355.568,49.5169,0,0,0,0,23.3104,5.52153,15.7586,6.8389,20172.8,11.7687
0.645833,26.9829,55.6154,91.6723,347.923,48.4523,0,0,0,0,22.8092,5.40282,15.4198,6.69187,19739.1,11.7424
0.65625,27.0829,54.501,92.0122,340.952,47.4815,0,0,0,0,22.3522,5.29457,15.1108,6.55779,19343.6,11.7174
0.666667,28.1109,55.1715,95.5046,345.146,48.0656,0,0,0,0,22.6272,5.3597,15.2967,6.63846,19581.6,11.6937
0.677083,25.7746,49.2946,87.5672,308.381,42.9456,0,0,0,0,20.2169,4.78878,13.6673,5.93133,17495.7,11.6715
0.6875,25.1436,46.8341,85.4234,292.989,40.8021,0,0,0,0,19.2078,4.54976,12.9851,5.63528,16622.5,11.6509
0.697917,23.9129,43.371,81.2424,271.324,37.785,0,0,0,0,17.7875,4.21333,12.0249,5.21858,15393.3,11.6319
0.708333,28.858,50.971,98.0428,318.869,44.4061,0,0,0,0,20.9045,4.95165,14.1321,6.13305,18090.7,11.6147
0.71875,27.3267,47.0293,92.8403,294.21,40.9721,0,0,0,0,19.2879,4.56872,13.0392,5.65876,16691.7,11.5993
0.729167,29.2819,49.1501,99.4832,307.477,42.8197,0,0,0,0,20.1577,4.77475,13.6272,5.91394,17444.4,11.5858
0.739583,27.214,44.6141,92.4576,279.1,38.8679,0,0,0,0,18.2973,4.33409,12.3696,5.36815,15834.5,11.5742
0.75,26.2159,42.0541,89.0666,263.086,36.6377,0,0,0,0,17.2474,4.0854,11.6598,5.06013,14925.9,11.5647
0.760417,27.8768,43.859,94.7094,274.377,38.2101,0,0,0,0,17.9877,4.26074,12.1602,5.27729,15566.5,11.5573
0.770833,27.1219,41.9664,92.1448,262.537,36.5613,0,0,0,0,17.2115,4.07688,11.6355,5.04957,14894.8,11.5519
0.78125,25.5189,38.956,86.6984,243.704,33.9386,0,0,0,0,15.9768,3.78443,10.8008,4.68734,13826.3,11.5487
0.791667,26.0214,39.3266,88.4056,246.023,34.2615,0,0,0,0,16.1288,3.82043,10.9036,4.73194,13957.9,11.5476
0.802083,29.6313,44.5021,100.67,278.4,38.7704,0,0,0,0,18.2514,4.32321,12.3385,5.35467,15794.8,11.5486
0.8125,27.7086,41.5165,94.1379,259.722,36.1693,0,0,0,0,17.0269,4.03317,11.5108,4.99544,14735.1,11.5519
0.822917,27.793,41.712,94.4248,260.945,36.3396,0,0,0,0,17.1071,4.05216,11.565,5.01895,14804.5,11.5572
0.833333,26.8497,40.5242,91.22,253.514,35.3048,0,0,0,0,16.62,3.93677,11.2356,4.87603,14382.9,11.5647
0.84375,26.2873,40.0542,89.3091,250.574,34.8953,0,0,0,0,16.4272,3.89111,11.1053,4.81948,14216.1,11.5744
0.854167,28.44,43.9081,96.6229,274.684,38.2529,0,0,0,0,18.0078,4.2655,12.1738,5.2832,15583.9,11.586
0.864583,27.0838,42.51,92.0151,265.938,37.0349,0,0,0,0,17.4344,4.12969,11.7862,5.11498,15087.7,11.5997
0.875,26.1928,41.9207,88.9882,262.251,36.5215,0,0,0,0,17.1927,4.07244,11.6228,5.04407,14878.6,11.6154
0.885417,27.0436,44.2479,91.8787,276.81,38.5489,0,0,0,0,18.1472,4.29852,12.2681,5.32409,15704.6,11.633
0.895833,25.9934,43.571,88.3106,272.575,37.9592,0,0,0,0,17.8696,4.23276,12.0804,5.24264,15464.3,11.6524
0.90625,27.4849,47.2783,93.378,295.767,41.189,0,0,0,0,19.39,4.59291,13.1083,5.68872,16780.1,11.6736
0.916667,28.7634,50.8356,97.7216,318.022,44.2882,0,0,0,0,20.8489,4.93849,14.0946,6.11675,18042.7,11.6964
0.927083,26.088,47.4094,88.6321,296.588,41.3033,0,0,0,0,19.4438,4.60565,13.1446,5.7045,16826.6,11.7209
0.9375,29.1709,54.5285,99.1059,341.124,47.5054,0,0,0,0,22.3635,5.29724,15.1184,6.56109,19353.4,11.7468
0.947917,26.3174,50.6003,89.4113,316.549,44.0831,0,0,0,0,20.7524,4.91563,14.0293,6.08843,17959.1,11.7742
0.958333,27.435,54.2358,93.2085,339.293,47.2504,0,0,0,0,22.2434,5.2688,15.0373,6.52587,19249.5,11.8027
0.96875,26.0876,52.9884,88.6308,331.489,46.1637,0,0,0,0,21.7319,5.14763,14.6914,6.37579,18806.7,11.8325
0.979167,26.9237,56.1337,91.4712,351.166,48.9039,0,0,0,0,23.0218,5.45318,15.5635,6.75424,19923.1,11.8633
0.989583,27.2907,58.3338,92.7182,364.93,50.8206,0,0,0,0,23.9241,5.66691,16.1735,7.01897,20703.9,11.895
1,26.6345,58.2841,90.4886,364.618,50.7773,0,0,0,0,23.9037,5.66208,16.1597,7.01298,20686.3,11.9275
1.01042,26.2694,58.7581,89.2482,367.584,51.1903,0,0,0,0,24.0982,5.70813,16.2911,7.07002,20854.5,11.9606
1.02083,26.3034,60.0338,89.3638,375.564,52.3016,0,0,0,0,24.6213,5.83205,16.6448,7.22351,21307.3,11.9942
1.03125,26.1083,60.6925,88.7012,379.685,52.8755,0,0,0,0,24.8915,5.89605,16.8275,7.30277,21541.1,12.0282
1.04167,25.0888,59.2898,85.2375,370.91,51.6535,0,0,0,0,24.3162,5.75979,16.4386,7.134,21043.3,12.0625
1.05208,26.8682,64.4217,91.2828,403.014,56.1244,0,0,0,0,26.4209,6.25832,17.8614,7.75148,22864.6,12.0968
1.0625,27.7723,67.4271,94.3543,421.816,58.7427,0,0,0,0,27.6535,6.55029,18.6947,8.1131,23931.3,12.1311
1.07292,28.4628,69.8333,96.7003,436.869,60.839,0,0,0,0,28.6404,6.78405,19.3618,8.40264,24785.4,12.1653
1.08333,28.1071,69.5508,95.4918,435.102,60.5929,0,0,0,0,28.5245,6.7566,19.2835,8.36864,24685.1,12.1991
1.09375,30.5714,76.1474,103.864,476.369,66.3399,0,0,0,0,31.2299,7.39743,21.1125,9.16237,27026.4,12.2324
1.10417,27.66,69.2183,93.9729,433.022,60.3032,0,0,0,0,28.3881,6.7243,19.1913,8.32863,24567.1,12.2652
1.11458,26.605,66.7675,90.3885,417.69,58.1681,0,0,0,0,27.383,6.48621,18.5118,8.03374,23697.2,12.2972
1.125,29.7741,74.8025,101.155,467.956,65.1682,0,0,0,0,30.6783,7.26678,20.7396,9.00054,26549,12.3284
1.13542,25.8006,64.7844,87.6557,405.283,56.4404,0,0,0,0,26.5697,6.29356,17.962,7.79512,22993.4,12.3586
1.14583,28.5446,71.5262,96.9782,447.459,62.3138,0,0,0,0,29.3347,6.9485,19.8312,8.60632,25386.2,12.3876
1.15625,25.926,64.7401,88.0815,405.006,56.4018,0,0,0,0,26.5515,6.28925,17.9497,7.78979,22977.7,12.4155
1.16667,27.7083,68.8662,94.1367,430.819,59.9964,0,0,0,0,28.2437,6.69009,19.0937,8.28626,24442.1,12.442
1.17708,24.5466,60.6566,83.3953,379.46,52.8442,0,0,0,0,24.8768,5.89256,16.8175,7.29845,21528.3,12.4671
1.1875,28.4504,69.8348,96.6581,436.878,60.8403,0,0,0,0,28.641,6.78419,19.3622,8.40281,24785.9,12.4906
1.19792,27.0108,65.8121,91.7671,411.713,57.3358,0,0,0,0,26.9912,6.3934,18.2469,7.91879,23358.2,12.5126
1.20833,25.9089,62.629,88.0235,391.8,54.5626,0,0,0,0,25.6857,6.08417,17.3644,7.53578,22228.4,12.5328
1.21875,29.511,70.7503,100.262,442.606,61.6379,0,0,0,0,29.0164,6.87313,19.6161,8.51297,25110.8,12.5512
1.22917,28.2681,67.2055,96.0387,420.43,58.5497,0,0,0,0,27.5627,6.52877,18.6333,8.08645,23852.7,12.5677
1.23958,27.2886,64.3415,92.7109,402.513,56.0545,0,0,0,0,26.388,6.25053,17.8392,7.74183,22836.2,12.5823
1.25,26.2114,61.3092,89.0514,383.543,53.4128,0,0,0,0,25.1444,5.95596,16.9985,7.37698,21760,12.5949
1.26042,27.1672,63.0683,92.2985,394.548,54.9453,0,0,0,0,25.8659,6.12685,17.4862,7.58864,22384.3,12.6055
1.27083,27.003,62.258,91.7408,389.478,54.2393,0,0,0,0,25.5335,6.04813,17.2615,7.49113,22096.7,12.614
1.28125,28.2128,64.6544,95.8511,404.47,56.3271,0,0,0,0,26.5164,6.28093,17.9259,7.77949,22947.3,12.6205
1.29167,28.3126,64.5528,96.1901,403.834,56.2386,0,0,0,0,26.4747,6.27106,17.8977,7.76725,22911.2,12.6248
1.30208,26.3172,59.7613,89.4107,373.86,52.0643,0,0,0,0,24.5096,5.80559,16.5693,7.19073,21210.6,12.627
1.3125,26.4783,59.9539,89.9582,375.065,52.232,0,0,0,0,24.5886,5.8243,16.6227,7.2139,21278.9,12.627
1.32292,26.5019,59.9061,90.0382,374.765,52.1904,0,0,0,0,24.569,5.81965,16.6094,7.20814,21262,12.625
1.33333,25.3894,57.3643,86.2585,358.864,49.976,0,0,0,0,23.5265,5.57273,15.9047,6.90231,20359.8,12.6208
1.34375,26.4209,59.7386,89.763,373.717,52.0444,0,0,0,0,24.5003,5.80338,16.563,7.18799,21202.5,12.6146
1.35417,27.1004,61.3903,92.0716,384.05,53.4834,0,0,0,0,25.1777,5.96384,17.0209,7.38673,21788.7,12.6064
1.36458,28.1668,63.9942,95.6946,400.34,55.752,0,0,0,0,26.2456,6.2168,17.7429,7.70005,22712.9,12.5961
1.375,29.0236,66.1985,98.6057,414.13,57.6724,0,0,0,0,27.1497,6.43094,18.3541,7.96528,23495.3,12.5839
1.38542,26.1258,59.8705,88.7604,374.543,52.1593,0,0,0,0,24.5544,5.81619,16.5995,7.20386,21249.3,12.5699
1.39583,27.9762,64.4559,95.0472,403.229,56.1542,0,0,0,0,26.435,6.26165,17.8709,7.7556,22876.8,12.554
1.40625,26.6212,61.6931,90.4434,385.945,53.7472,0,0,0,0,25.3019,5.99325,17.1049,7.42317,21896.2,12.5364
1.41667,30.0512,70.0697,102.097,438.348,61.045,0,0,0,0,28.7373,6.80701,19.4274,8.43108,24869.3,12.5171
1.42708,27.1599,63.7224,92.2737,398.64,55.5152,0,0,0,0,26.1342,6.1904,17.6675,7.66735,22616.5,12.4963
1.4375,27.9098,65.8817,94.8213,412.148,57.3964,0,0,0,0,27.0197,6.40016,18.2662,7.92716,23382.8,12.474
1.44792,25.9518,61.6141,88.1693,385.451,53.6784,0,0,0,0,25.2695,5.98558,17.083,7.41367,21868.2,12.4504
1.45833,26.1226,62.3458,88.7496,390.028,54.3158,0,0,0,0,25.5695,6.05666,17.2858,7.5017,22127.9,12.4256
1.46875,27.5008,65.933,93.4318,412.469,57.4411,0,0,0,0,27.0408,6.40515,18.2804,7.93333,23401.1,12.3996
1.47917,26.7034,64.2543,90.7228,401.967,55.9785,0,0,0,0,26.3523,6.24206,17.815,7.73134,22805.2,12.3726
1.48958,27.7071,66.8406,94.1329,418.147,58.2318,0,0,0,0,27.413,6.49332,18.5321,8.04254,23723.2,12.3447
1.5,25.1001,60.6323,85.2756,379.308,52.823,0,0,0,0,24.8668,5.8902,16.8108,7.29552,21519.7,12.3161
1.51042,28.1274,67.9426,95.5607,425.041,59.1918,0,0,0,0,27.8649,6.60037,18.8376,8.17513,24114.3,12.2869
1.52083,26.0017,62.7114,88.3389,392.315,54.6344,0,0,0,0,25.7195,6.09218,17.3872,7.5457,22257.7,12.2572
1.53125,29.571,71.0953,100.465,444.764,61.9385,0,0,0,0,29.158,6.90665,19.7117,8.55448,25233.3,12.2271
1.54167,26.8335,64.2012,91.1649,401.635,55.9323,0,0,0,0,26.3305,6.2369,17.8003,7.72495,22786.4,12.1968
1.55208,28.7199,68.2595,97.5738,427.024,59.4679,0,0,0,0,27.9949,6.63116,18.9255,8.21327,24226.8,12.1665
1.5625,25.3272,59.6873,86.0473,373.397,51.9998,0,0,0,0,24.4792,5.7984,16.5488,7.18182,21184.3,12.1362
1.57292,27.8101,64.8628,94.4829,405.774,56.5087,0,0,0,0,26.6019,6.30118,17.9837,7.80456,23021.2,12.1062
1.58333,26.0173,59.9418,88.3919,374.989,52.2215,0,0,0,0,24.5836,5.82312,16.6193,7.21245,21274.7,12.0765
1.59375,26.5634,60.3398,90.2472,377.479,52.5683,0,0,0,0,24.7469,5.86179,16.7297,7.26034,21415.9,12.0473
1.60417,27.2597,60.9376,92.6128,381.219,53.0891,0,0,0,0,24.992,5.91986,16.8954,7.33227,21628.1,12.0187
1.61458,26.7946,58.8397,91.0325,368.094,51.2613,0,0,0,0,24.1316,5.71606,16.3138,7.07984,20883.5,11.9909
1.625,27.5859,59.4046,93.7212,371.629,51.7535,0,0,0,0,24.3633,5.77094,16.4704,7.14781,21084,11.964
1.63542,28.244,59.5478,95.9569,372.524,51.8783,0,0,0,0,24.422,5.78485,16.5101,7.16504,21134.8,11.9381
1.64583,28.1148,57.9485,95.5181,362.519,50.4849,0,0,0,0,23.7661,5.62948,16.0667,6.9726,20567.2,11.9133
1.65625,27.1071,54.5497,92.0944,341.257,47.5239,0,0,0,0,22.3722,5.2993,15.1243,6.56365,19360.9,11.8897
1.66667,25.3701,49.7924,86.1932,311.496,43.3793,0,0,0,0,20.4211,4.83715,13.8053,5.99123,17672.4,11.8676
1.67708,26.1308,49.9759,88.7776,312.643,43.5392,0,0,0,0,20.4964,4.85497,13.8562,6.01331,17737.5,11.8469
1.6875,26.9597,50.217,91.5936,314.152,43.7492,0,0,0,0,20.5952,4.8784,13.9231,6.04232,17823.1,11.8278
1.69792,24.3377,44.1415,82.6857,276.144,38.4562,0,0,0,0,18.1035,4.28818,12.2386,5.31128,15666.8,11.8103
1.70833,28.25,49.8972,95.9773,312.151,43.4706,0,0,0,0,20.4641,4.84733,13.8344,6.00384,17709.6,11.7946
1.71875,26.9,46.295,91.3907,289.616,40.3324,0,0,0,0,18.9867,4.49739,12.8356,5.57041,16431.1,11.7807
1.72917,26.8841,45.1253,91.3367,282.298,39.3133,0,0,0,0,18.507,4.38375,12.5113,5.42966,16015.9,11.7687
1.73958,28.5172,46.7505,96.8852,292.466,40.7292,0,0,0,0,19.1736,4.54164,12.9619,5.62522,16592.8,11.7587
1.75,28.1354,45.1334,95.5881,282.349,39.3203,0,0,0,0,18.5103,4.38454,12.5136,5.43063,16018.8,11.7507
1.76042,27.5271,43.3087,93.5211,270.934,37.7307,0,0,0,0,17.762,4.20728,12.0077,5.21108,15371.2,11.7447
1.77083,25.8631,40.0186,87.8679,250.351,34.8643,0,0,0,0,16.4126,3.88765,11.0955,4.8152,14203.5,11.7409
1.78125,27.6488,42.2074,93.9347,264.045,36.7712,0,0,0,0,17.3103,4.10029,11.7023,5.07857,14980.3,11.7392
1.79167,27.6975,41.8598,94.1001,261.87,36.4684,0,0,0,0,17.1677,4.06652,11.6059,5.03674,14856.9,11.7396
1.80208,26.0217,39.081,88.407,244.486,34.0475,0,0,0,0,16.0281,3.79657,10.8355,4.70238,13870.7,11.7422
1.8125,28.6465,42.9218,97.3243,268.514,37.3936,0,0,0,0,17.6033,4.16969,11.9004,5.16452,15233.9,11.7469
1.82292,27.9176,41.8989,94.848,262.115,36.5025,0,0,0,0,17.1838,4.07032,11.6168,5.04145,14870.8,11.7538
1.83333,24.5449,37.0455,83.3896,231.753,32.2742,0,0,0,0,15.1933,3.59884,10.2712,4.45747,13148.3,11.7628
1.84375,27.3922,41.7377,93.063,261.106,36.3621,0,0,0,0,17.1177,4.05467,11.5721,5.02206,14813.6,11.7739
1.85417,25.5046,39.376,86.6498,246.332,34.3045,0,0,0,0,16.1491,3.82524,10.9173,4.73789,13975.4,11.787
1.86458,28.7731,45.1615,97.7544,282.525,39.3448,0,0,0,0,18.5218,4.38727,12.5214,5.43402,16028.8,11.8022
1.875,28.3248,45.3329,96.2315,283.597,39.4942,0,0,0,0,18.5921,4.40392,12.5689,5.45464,16089.6,11.8194
1.88542,25.7239,42.0886,87.3949,263.301,36.6677,0,0,0,0,17.2616,4.08875,11.6694,5.06428,14938.2,11.8385
1.89583,26.0216,43.6183,88.4065,272.871,38.0004,0,0,0,0,17.889,4.23736,12.0935,5.24834,15481.1,11.8594
1.90625,27.3649,47.0717,92.9701,294.475,41.0091,0,0,0,0,19.3053,4.57284,13.051,5.66387,16706.8,11.8821
1.91667,26.9011,47.5442,91.3945,297.431,41.4207,0,0,0,0,19.4991,4.61874,13.182,5.72071,16874.5,11.9064
1.92708,29.3025,53.251,99.553,333.132,46.3924,0,0,0,0,21.8396,5.17314,14.7642,6.40738,18899.9,11.9324
1.9375,28.2349,52.7789,95.926,330.178,45.9811,0,0,0,0,21.6459,5.12727,14.6333,6.35057,18732.4,11.9598
1.94792,26.8417,51.6085,91.1928,322.857,44.9615,0,0,0,0,21.1659,5.01357,14.3088,6.20974,18317,11.9886
1.95833,28.0122,55.3768,95.1694,346.431,48.2444,0,0,0,0,22.7114,5.37965,15.3536,6.66316,19654.4,12.0187
1.96875,24.4596,49.6817,83.0998,310.803,43.2829,0,0,0,0,20.3757,4.82639,13.7746,5.97791,17633.1,12.0499
1.97917,27.648,57.6439,93.9321,360.614,50.2196,0,0,0,0,23.6412,5.59989,15.9822,6.93595,20459.1,12.0822
1.98958,28.4056,60.717,96.5061,379.838,52.8968,0,0,0,0,24.9015,5.89842,16.8342,7.30571,21549.8,12.1154
2,26.9826,59.0459,91.6714,369.384,51.441,0,0,0,0,24.2162,5.73609,16.3709,7.10464,20956.7,12.1493
2.01042,26.2594,58.7358,89.2143,367.444,51.1708,0,0,0,0,24.089,5.70596,16.285,7.06734,20846.6,12.1839
2.02083,27.9965,63.898,95.116,399.738,55.6681,0,0,0,0,26.2061,6.20745,17.7162,7.68847,22678.8,12.2191
2.03125,29.8925,69.4893,101.557,434.717,60.5393,0,0,0,0,28.4993,6.75062,19.2664,8.36123,24663.2,12.2546
2.04167,27.5051,64.9999,93.4465,406.632,56.6281,0,0,0,0,26.6581,6.3145,18.0217,7.82106,23069.9,12.2903
2.05208,25.7006,61.6221,87.3159,385.501,53.6854,0,0,0,0,25.2727,5.98636,17.0852,7.41462,21871,12.3261
2.0625,29.1944,70.8797,99.1858,443.415,61.7506,0,0,0,0,29.0695,6.8857,19.6519,8.52854,25156.8,12.3619
2.07292,24.6689,60.525,83.8108,378.638,52.7296,0,0,0,0,24.8228,5.87978,16.781,7.28262,21481.7,12.3975
2.08333,27.9112,69.0661,94.8263,432.069,60.1706,0,0,0,0,28.3257,6.70951,19.1491,8.31032,24513.1,12.4328
2.09375,26.434,65.8419,89.8075,411.899,57.3617,0,0,0,0,27.0034,6.39629,18.2552,7.92237,23368.7,12.4676
2.10417,28.493,71.3029,96.803,446.063,62.1193,0,0,0,0,29.2431,6.92681,19.7693,8.57946,25306.9,12.5018
2.11458,26.0698,65.4244,88.5702,409.287,56.998,0,0,0,0,26.8322,6.35574,18.1394,7.87213,23220.5,12.5353
